name,organism,model_bigg_id
SLC13A5,Homo sapiens,Recon3D
SLC26A11,Homo sapiens,Recon3D
ZADH2,Homo sapiens,Recon3D
CYP4V2,Homo sapiens,Recon3D
ATP11C,Homo sapiens,Recon3D
GPT,Homo sapiens,Recon3D
GPX1,Homo sapiens,Recon3D
GPX2,Homo sapiens,Recon3D
GPX3,Homo sapiens,Recon3D
GPX4,Homo sapiens,Recon3D
GPX5,Homo sapiens,Recon3D
GPX7,Homo sapiens,Recon3D
SLC27A6,Homo sapiens,Recon3D
SPCS1,Homo sapiens,Recon3D
ACAD9,Homo sapiens,Recon3D
FLVCR1,Homo sapiens,Recon3D
ABO,Homo sapiens,Recon3D
SETD2,Homo sapiens,Recon3D
PHPT1,Homo sapiens,Recon3D
ANPEP,Homo sapiens,Recon3D
LGALS13,Homo sapiens,Recon3D
SLC25A4,Homo sapiens,Recon3D
SLC25A5,Homo sapiens,Recon3D
GSR,Homo sapiens,Recon3D
GSS,Homo sapiens,Recon3D
SLC25A6,Homo sapiens,Recon3D
GSTM1,Homo sapiens,Recon3D
GSTM2,Homo sapiens,Recon3D
GSTZ1,Homo sapiens,Recon3D
GUCY1A2,Homo sapiens,Recon3D
CYP2S1,Homo sapiens,Recon3D
GUCA1A,Homo sapiens,Recon3D
UQCR10,Homo sapiens,Recon3D
GUCY1A3,Homo sapiens,Recon3D
GUCY1B3,Homo sapiens,Recon3D
GUCY2C,Homo sapiens,Recon3D
GUCY2F,Homo sapiens,Recon3D
GUK1,Homo sapiens,Recon3D
ALG5,Homo sapiens,Recon3D
NPC1L1,Homo sapiens,Recon3D
ST8SIA5,Homo sapiens,Recon3D
GUSB,Homo sapiens,Recon3D
PYCR2,Homo sapiens,Recon3D
NME7,Homo sapiens,Recon3D
GMPPB,Homo sapiens,Recon3D
GMPPA,Homo sapiens,Recon3D
GYG1,Homo sapiens,Recon3D
CERS2,Homo sapiens,Recon3D
DMGDH,Homo sapiens,Recon3D
PSAT1,Homo sapiens,Recon3D
GYS1,Homo sapiens,Recon3D
SLC2A8,Homo sapiens,Recon3D
GYS2,Homo sapiens,Recon3D
GUCY2D,Homo sapiens,Recon3D
SLC40A1,Homo sapiens,Recon3D
HSD17B10,Homo sapiens,Recon3D
HAGH,Homo sapiens,Recon3D
