	cluster	degree
Atp23	1	36
Atp2a2	4	52
Atp2a3	1	1102
Atp2b1	0	363
Atp2b3	4	15
Atp2b4	1	1688
Atp5f1a	4	73
Atp5f1b	4	50
Atp5f1d	4	94
Atp5if1	0	53
Atp5mc3	4	54
Atp5me	4	18
AABR07056686.1	4	13
Atp5mf	4	35
Atp5mg	4	27
Atp5mk	4	15
Atp5pb	4	25
Atp5pd	4	7
Atp5pf	4	20
Atp5po	4	56
Atp6ap1	3	3261
Atp6ap2	1	2218
Atp6v0a1	2	2034
Atp6v0c	0	2047
Atp6v0d1	0	2807
Atp6v0e2	3	34
Atp6v1a	1	2566
Atp6v1b2	3	388
Atp6v1c1	0	1582
Atp6v1d	0	1177
Atp6v1e1	0	17
Atp6v1fnb	0	1553
Atp6v1g1	0	1428
Atp6v1h	2	2591
Atp7a	0	950
Atp8a1	0	12
Atp8b1	1	2401
Atp8b2	1	2264
Atp9a	0	173
Atp9b	2	1541
Atpsckmt	4	9
AABR07014301.2	4	4
Atr	2	2226
Atrip	2	808
Atrn	1	1993
Atrnl1	1	819
Atrx	0	909
Atxn1	4	66
Atxn10	2	1091
Atxn1l	0	1214
Atxn2	4	19
Atxn2l	2	2433
Atxn3	2	2899
Atxn7	2	114
Atxn7l2	2	252
Atxn7l3	2	441
Atxn7l3b	1	3115
AU040320	0	880
Adam9	0	42
Auh	0	528
Aup1	0	2166
Aurka	1	186
Aurkaip1	2	1471
Aurkc	2	172
Aven	0	10
Avl9	2	3059
Avpi1	3	1937
Avpr1a	1	1233
AW146154	2	1249
Axin1	0	980
Axl	1	2302
Azi2	0	814
Azin1	2	582
Azin2	1	24
B2m	1	1581
B3galnt1	1	2766
B3galnt2	4	7
B3galt1	2	65
B3galt6	1	1080
B3gat3	2	133
B3glct	1	395
B3gnt2	1	1753
B3gnt5	2	276
AC133270.1	2	7
B3gnt7	1	252
B3gnt9	1	2630
B3gntl1	2	620
B4galnt1	2	110
B4galt1	2	2747
B4galt3	3	1541
B4galt4	1	409
B4galt5	1	2872
B4galt6	0	13
B4galt7	1	336
Adh5	3	12
B4gat1	3	356
B9d1	3	122
B9d2	0	170
Babam1	0	494
Babam2	2	444
Bace1	1	2078
Bace2	1	1967
Bach1	0	250
Bach2	2	9
AC109942.1	2	1
Bad	3	770
Bag1	0	716
Bag2	0	1271
Bag3	0	755
Bag4	3	2028
Bag5	1	2210
Bag6	0	1322
Bahd1	1	2265
Baiap2	1	1583
Bak1	1	623
Bambi	1	31
Banf1	0	50
Bank1	2	70
Bap1	0	746
Basp1	1	86
Bax	1	1911
Baz1a	1	2319
Baz1b	1	2681
Baz2a	2	2212
Baz2b	2	1455
Bbc3	1	25
Bbip1	0	413
Bbln	4	9
Bbof1	0	12
Bbs10	1	731
Bbs12	2	525
Bbs2	2	2090
Bbs4	2	847
Bbs5	1	579
Bbs7	2	709
Bbx	2	68
BC005537	0	2112
BC024063	0	211
BC049762	0	459
Bcam	1	514
Bcap29	0	459
Bcap31	0	1871
Bcar1	0	33
Adra1a	0	7
Bcar3	1	1149
Bcas2	0	1213
Bcas3	0	1068
Bcat1	1	465
Bcat2	0	29
Bccip	0	113
Bcdin3d	3	2570
Bche	1	887
Bckdha	0	806
Bcl10	1	2828
Bcl2	1	2335
Bcl2a1	1	493
Bcl2l1	2	1008
Bcl2l11	1	375
Bcl2l12	3	683
Bcl2l13	0	512
Bcl2l2	0	282
Bcl3	1	1448
Bcl6b	1	684
