	cluster	degree
Ankrd45	0	1595
Ankrd46	4	607
Ankrd49	2	319
Ankrd50	0	258
Ankrd52	4	349
Ankrd54	3	2299
Ankrd55	1	212
Ankrd6	0	5
Ankrd63	0	1281
Ankrd66	1	81
Ankrd9	2	56
Anks1a	3	2468
Anks3	0	1261
Anks6	2	276
Ankub1	1	241
Ankzf1	2	517
Anln	1	1780
Ano1	1	73
Ano10	4	718
Ano3	0	1182
Ano4	1	337
Ano5	1	15
Ano6	1	148
Angpt2	1	61
Ano8	2	229
Anp32a	2	492
Anp32b	1	1672
Anp32e	3	1685
Anpep	1	37
Antkmt	3	1569
Antxr1	1	257
Antxr2	1	306
Anxa1	1	162
Anxa11	0	1522
Anxa2	1	287
Anxa3	1	61
Abcg3l1	1	17
Anxa5	0	179
Alpl	0	20
Anxa7	0	872
Aoah	5	46
Aox1	1	898
Aox4	1	108
Ap1ar	0	332
Ap1b1	4	883
Ap1g1	2	1947
Ap1g2	0	1337
Ap1m1	4	379
Ap1m2	5	292
Ap1s1	0	1077
Ap1s2	3	2368
Ap2a1	4	466
Ap2a2	0	975
Ap2b1	0	1535
Ap2m1	0	1175
Ap2s1	4	141
Ap3b1	1	1775
Ap3d1	2	472
Ap3m1	1	2602
Ap3m2	0	617
Ap3s1	0	213
Ap3s2	4	723
Ap4b1	3	3362
Ap4e1	2	1579
Ap4m1	0	900
Ap4s1	3	46
Ap5b1	2	685
Ap5m1	2	1592
Ap5s1	1	334
Apaf1	2	165
Apba1	0	1388
Apba2	0	430
Apba3	4	809
Apbb1	4	1016
Apbb1ip	0	42
Acy3	0	7
Apbb2	1	104
Apbb3	3	2306
Apc	0	1457
Apc2	2	1464
Apeh	3	2879
Apela	3	2076
AABR07030911.1	3	39
Apex1	4	47
Apex2	5	65
Aph1a	4	1374
Aph1b	1	34
Api5	2	2970
Aplnr	1	777
Aplp1	0	251
Aplp2	2	2486
Apmap	3	3037
Apoa5	3	843
Apobec1	5	57
AABR07006275.1	5	15
Apobec2	1	1405
Apobr	0	244
Apod	1	1580
Apoe	0	16
Apol2	5	395
Apol3	5	77
Apol9a	1	87
Apold1	1	28
Apom	3	1450
Apoo	3	336
Apool	1	1393
App	4	685
Appbp2	2	2535
Appl1	2	2413
Appl2	3	2565
Aprt	4	415
Aptx	0	775
Aqp11	1	6
Aqp4	3	2314
Aqp9	3	244
Aqr	2	1954
Ar	0	268
Araf	4	1012
Arap1	3	2712
Arap2	0	330
Arap3	5	59
Arc	0	745
Arcn1	3	3333
Arel1	0	1669
Arf1	0	458
Arf2	4	601
Arf4	4	422
Arf6	3	2918
Arfgap1	2	568
Arfgap2	3	3161
Arfgap3	2	1774
Arfgef1	2	783
Arfgef2	2	2084
Arfgef3	0	541
Arfip1	3	2411
Arfip2	4	295
Arfrp1	0	450
Arg1	1	667
Arg2	4	218
Arhgap1	0	1697
Arhgap10	3	14
Aopep	3	1
Arhgap11a	1	487
Arhgap12	3	2597
Arhgap15	0	918
Arhgap17	1	510
Arhgap19	3	2075
Arhgap20	0	1502
Arhgap21	2	175
Arhgap22	1	165
Arhgap23	1	145
Arhgap24	1	218
Arhgap25	0	1019
Arhgap26	3	2830
Arhgap27	1	2101
Arhgap28	1	33
Arhgap29	1	136
Arhgap30	2	170
Arhgap31	3	2972
Arhgap32	0	1633
Arhgap33	0	1324
Arhgap35	0	485
Arhgap36	1	749
Arhgap39	0	800
Adat2	0	32
Arhgap40	5	413
Arhgap42	3	2655
Arhgap44	0	462
Arhgap45	1	93
Arhgap5	2	136
Arhgap6	0	353
Arhgap8	3	1565
Arhgap9	5	12
Arhgdia	0	1198
1110065P20Rik	0	38
Arhgdib	1	73
